title,nid,img,location,lat,long,secret,attending,event_link,fb_link,fb_going,fb_interested,date_wday,date2_wday,date_conv,date2_conv,sold_out,timestamp
"Bonsai w/ Wendel Sield, Thomas Hayat, Iggy P & more",104869,http://api.simfuny.com/sites/default/files/photo/events/18527180_1320390934704133_8004741394115953959_o.jpg,De ClubUp,52.36385,4.88375,0,135,http://simfuny.com/event/104869/bonsai-w-wendel-sield-thomas-hayat-iggy-p-more,https://www.facebook.com/events/836002413218802,191,280,Sat,Sun,2017-06-24,2017-06-25,FALSE,2017-06-25T01:03:48Z
Eindfeest & Coyote Ugly Vivelavie,113029,http://api.simfuny.com/sites/default/files/photo/events/19025124_1571241499561141_6379420014719350719_o.jpg,Bar Vivelavie,52.36633,4.8980499,0,131,http://simfuny.com/event/113029/eindfeest-coyote-ugly-vivelavie,https://www.facebook.com/events/139942659895359,232,289,Sat,Sun,2017-06-24,2017-06-25,FALSE,2017-06-25T01:03:48Z
Shmlss All Night Long!,108691,http://api.simfuny.com/sites/default/files/photo/events/18839634_1350811914996871_136107518496721349_o_0.jpg,Sugarfactory,52.36481,4.88183,0,126,http://simfuny.com/event/108691/shmlss-all-night-long,https://www.facebook.com/events/853383518148778,157,466,Sat,Sun,2017-06-24,2017-06-25,FALSE,2017-06-25T01:03:48Z
The View - Summer Nights 2017,89515,http://api.simfuny.com/sites/default/files/photo/events/17309810_729650407205949_1453899029774745960_n_0.jpg,Madam,52.38421,4.90288,0,112,http://simfuny.com/event/89515/the-view-summer-nights-2017,https://www.facebook.com/events/1734935470129773,162,1100,Sat,Sun,2017-06-24,2017-06-25,FALSE,2017-06-25T01:03:48Z
KLEAR  Last edition at the Chicago Social Club,109177,http://api.simfuny.com/sites/default/files/photo/events/18813604_672628559588680_1256378346606081723_n.jpg,Chicago Social Club,52.36464,4.8826,0,109,http://simfuny.com/event/109177/klear-last-edition-at-the-chicago-social-club,https://www.facebook.com/events/1894447390767947,135,317,Sat,Sun,2017-06-24,2017-06-25,FALSE,2017-06-25T01:03:48Z
KISS KISS l ABE CLUB & Lounge l 24 Juni,81985,http://api.simfuny.com/sites/default/files/photo/events/18951101_1424466617619316_2815906501067802571_n_0.jpg,ABE club & lounge,52.36609,4.8997,0,104,http://simfuny.com/event/81985/kiss-kiss-l-abe-club-lounge-l-24-juni,https://www.facebook.com/events/367293983655076,114,141,Sat,Sun,2017-06-24,2017-06-25,FALSE,2017-06-25T01:03:48Z
Sterac / Jasper Wolff & Maarten Mittendorff,103045,http://api.simfuny.com/sites/default/files/photo/events/18359005_1023782807752193_7117347256388726545_o.jpg,De School,52.3699493,4.8437099,0,94,http://simfuny.com/event/103045/sterac-jasper-wolff-maarten-mittendorff,https://www.facebook.com/events/164507384080397,128,464,Sat,Sun,2017-06-24,2017-06-25,FALSE,2017-06-25T01:03:48Z
Nova's Situation l 24 Juni l NOVA,85591,http://api.simfuny.com/sites/default/files/photo/events/18953117_1337976389656509_2910714793473697834_n.jpg,Nova,52.364923403914,4.8822024464607,0,89,http://simfuny.com/event/85591/nova-s-situation-l-24-juni-l-nova,https://www.facebook.com/events/224526761287668,87,102,Sat,Sun,2017-06-24,2017-06-25,FALSE,2017-06-25T01:03:48Z
1st Annual Amsterdam Improv Marathon,93035,http://api.simfuny.com/sites/default/files/photo/events/17796235_1581332765210581_6210112938970107759_n_0.png,Cinetol,52.35283,4.90657,0,84,http://simfuny.com/event/93035/1st-annual-amsterdam-improv-marathon,https://www.facebook.com/events/1438357396214600,103,286,Sat,Sun,2017-06-24,2017-06-25,FALSE,2017-06-25T01:03:48Z
3x NYXties,101861,http://api.simfuny.com/sites/default/files/photo/events/18342539_1780422535604245_85078854690843160_n_0.jpg,3x NYX,52.3662415,4.8913398,0,81,http://simfuny.com/event/101861/3x-nyxties,https://www.facebook.com/events/121267708438019,97,132,Sat,Sun,2017-06-24,2017-06-25,FALSE,2017-06-25T01:03:48Z
Verknipt Festival 2017,32001,http://api.simfuny.com/sites/default/files/photo/events/16143626_969734329824684_5297037103284165731_o.jpg,Sportpark Riekerhaven,52.34373,4.83882,0,6317,http://simfuny.com/event/32001/verknipt-festival-2017,https://www.facebook.com/events/520087268192277,6400,16000,Sat,Sat,2017-07-01,2017-07-01,FALSE,2017-06-25T20:29:48Z
Keti Koti Festival,110491,http://api.simfuny.com/sites/default/files/photo/events/18953464_1568820663190182_5745309455696147639_o.jpg,Oosterpark,52.359406478553,4.9205585134269,0,1292,http://simfuny.com/event/110491/keti-koti-festival,https://www.facebook.com/events/425457434502037,1300,4300,Sat,Sat,2017-07-01,2017-07-01,FALSE,2017-06-25T20:29:48Z
PITCH 2017,74417,http://api.simfuny.com/sites/default/files/photo/events/16299857_1442728035772364_1115751947214897181_o_0.jpg,NDSM,52.400894137724,4.8934881149808,0,1205,http://simfuny.com/event/74417/pitch-2017,https://www.facebook.com/events/2200788576813110,4200,13000,Sat,Sat,2017-07-01,2017-07-01,FALSE,2017-06-25T20:29:48Z
GLORY REMY BONJASKY- RICO VERHOEVEN!!!!,74273,http://api.simfuny.com/sites/default/files/photo/events/16388402_1463749416993282_7982031588346979519_n.jpg,The Cuban,52.36157,4.89929,0,1126,http://simfuny.com/event/74273/glory-remy-bonjasky-rico-verhoeven,https://www.facebook.com/events/366985390338193,1100,18000,Sat,NA,2017-07-01,NA,FALSE,2017-06-25T20:29:48Z
Giegling,92613,http://api.simfuny.com/sites/default/files/photo/events/17760058_1396519313743947_6068877664800610699_n_0.jpg,Thuishaven,52.39707,4.85558,0,944,http://simfuny.com/event/92613/giegling,https://www.facebook.com/events/1760983654143769,NA,NA,Sat,Sat,2017-07-01,2017-07-01,FALSE,2017-06-25T20:29:48Z
Official After Party Awakenings Festival - Sunday (SOLD OUT),112753,http://api.simfuny.com/sites/default/files/photo/events/19060077_10155413764199153_4770404284858646519_n.jpg,Paradiso Amsterdam,52.36228,4.8839499,0,931,http://simfuny.com/event/112753/official-after-party-awakenings-festival-sunday-sold-out,https://www.facebook.com/events/1909994315936169,1000,1600,Sun,Mon,2017-06-25,2017-06-26,TRUE,2017-06-25T20:29:48Z
John Fogerty - 1969 show at Ziggo Dome,78251,http://api.simfuny.com/sites/default/files/photo/events/16708421_1301138976608830_700830320602581193_n_0.jpg,Ziggo Dome,52.31375,4.93771,0,889,http://simfuny.com/event/78251/john-fogerty-1969-show-at-ziggo-dome,https://www.facebook.com/events/1837625236452266,899,661,Wed,Wed,2017-06-28,2017-06-28,FALSE,2017-06-25T20:29:48Z
Thuishaven Zomercircus curated by DJ Tennis,101483,http://api.simfuny.com/sites/default/files/photo/events/18275184_1436388189757059_9098397636542677115_n.jpg,Thuishaven,52.39707,4.85558,0,666,http://simfuny.com/event/101483/thuishaven-zomercircus-curated-by-dj-tennis,https://www.facebook.com/events/171011303427108,NA,NA,Sun,Sun,2017-06-25,2017-06-25,FALSE,2017-06-25T20:29:48Z
